name, date, cases
Bedford Heights City Jail,23-Apr-2020,
Bedford Heights City Jail,24-Apr-2020,
Bedford Heights City Jail,27-Apr-2020,
Bedford Heights City Jail,28-Apr-2020,
Bedford Heights City Jail,29-Apr-2020,
Bedford Heights City Jail,30-Apr-2020,
Bedford Heights City Jail,1-May-2020,
Bedford Heights City Jail,2-May-2020,
Bedford Heights City Jail,3-May-2020,
Bedford Heights City Jail,4-May-2020,
Bedford Heights City Jail,5-May-2020,
Bedford Heights City Jail,6-May-2020,
Bedford Heights City Jail,7-May-2020,
Bedford Heights City Jail,8-May-2020,
Bergen County Jail,3-Apr-2020,2
Bergen County Jail,4-Apr-2020,2
Bergen County Jail,7-Apr-2020,2
Bergen County Jail,8-Apr-2020,2
Bergen County Jail,9-Apr-2020,2
Bergen County Jail,10-Apr-2020,2
Bergen County Jail,13-Apr-2020,2
Bergen County Jail,14-Apr-2020,2
Bergen County Jail,15--Apr-2020,2
Bergen County Jail,16-Apr-2020,2
Bergen County Jail,17-Apr-2020,2
Bergen County Jail,20-Apr-2020,2
Bergen County Jail,21-Apr-2020,2
Bergen County Jail,22-Apr-2020,2
Bergen County Jail,23-Apr-2020,2
Bergen County Jail,24-Apr-2020,2
Bergen County Jail,27-Apr-2020,2
Bergen County Jail,28-Apr-2020,2
Bergen County Jail,29-Apr-2020,2
Bergen County Jail,30-Apr-2020,2
Bergen County Jail,1-May-2020,2
Bergen County Jail,2-May-2020,2
Bergen County Jail,3-May-2020,2
Bergen County Jail,4-May-2020,2
Bergen County Jail,5-May-2020,2
Bergen County Jail,6-May-2020,2
Bergen County Jail,7-May-2020,2
Bergen County Jail,8-May-2020,2
Berks Family Residential Center,3-Apr-2020,
Berks Family Residential Center,4-Apr-2020,
Berks Family Residential Center,7-Apr-2020,
Berks Family Residential Center,8-Apr-2020,
Berks Family Residential Center,9-Apr-2020,
Berks Family Residential Center,10-Apr-2020,
Berks Family Residential Center,13-Apr-2020,
Berks Family Residential Center,14-Apr-2020,
Berks Family Residential Center,15--Apr-2020,
Berks Family Residential Center,16-Apr-2020,
Berks Family Residential Center,17-Apr-2020,
Berks Family Residential Center,20-Apr-2020,
Berks Family Residential Center,21-Apr-2020,
Berks Family Residential Center,22-Apr-2020,
Berks Family Residential Center,23-Apr-2020,
Berks Family Residential Center,24-Apr-2020,
Berks Family Residential Center,27-Apr-2020,
Berks Family Residential Center,28-Apr-2020,
Berks Family Residential Center,29-Apr-2020,
Berks Family Residential Center,30-Apr-2020,
Berks Family Residential Center,1-May-2020,
Berks Family Residential Center,2-May-2020,
Berks Family Residential Center,3-May-2020,
Berks Family Residential Center,4-May-2020,
Berks Family Residential Center,5-May-2020,
Berks Family Residential Center,6-May-2020,
Berks Family Residential Center,7-May-2020,
Berks Family Residential Center,8-May-2020,
Bluebonnet Detention Center,3-Apr-2020,
Bluebonnet Detention Center,4-Apr-2020,
Bluebonnet Detention Center,7-Apr-2020,
Bluebonnet Detention Center,8-Apr-2020,
Bluebonnet Detention Center,9-Apr-2020,
Bluebonnet Detention Center,10-Apr-2020,
Bluebonnet Detention Center,13-Apr-2020,
Bluebonnet Detention Center,14-Apr-2020,
Bluebonnet Detention Center,15--Apr-2020,
Bluebonnet Detention Center,16-Apr-2020,
Bluebonnet Detention Center,17-Apr-2020,
Bluebonnet Detention Center,20-Apr-2020,
Bluebonnet Detention Center,21-Apr-2020,
Bluebonnet Detention Center,22-Apr-2020,1
Bluebonnet Detention Center,23-Apr-2020,1
Bluebonnet Detention Center,24-Apr-2020,1
Bluebonnet Detention Center,27-Apr-2020,1
Bluebonnet Detention Center,28-Apr-2020,20
Bluebonnet Detention Center,29-Apr-2020,24
Bluebonnet Detention Center,30-Apr-2020,27
Bluebonnet Detention Center,1-May-2020,27
Bluebonnet Detention Center,2-May-2020,27
Bluebonnet Detention Center,3-May-2020,27
Bluebonnet Detention Center,4-May-2020,39
Bluebonnet Detention Center,5-May-2020,41
Bluebonnet Detention Center,6-May-2020,41
Bluebonnet Detention Center,7-May-2020,41
Bluebonnet Detention Center,8-May-2020,42
Boone County Jail,3-Apr-2020,
Boone County Jail,4-Apr-2020,
Boone County Jail,7-Apr-2020,
Boone County Jail,8-Apr-2020,
Boone County Jail,9-Apr-2020,
Boone County Jail,10-Apr-2020,
Boone County Jail,13-Apr-2020,
Boone County Jail,14-Apr-2020,
Boone County Jail,15--Apr-2020,
Boone County Jail,16-Apr-2020,
Boone County Jail,17-Apr-2020,
Boone County Jail,20-Apr-2020,
Boone County Jail,21-Apr-2020,
Boone County Jail,22-Apr-2020,
Boone County Jail,23-Apr-2020,
Boone County Jail,24-Apr-2020,
Boone County Jail,27-Apr-2020,
Boone County Jail,28-Apr-2020,
Boone County Jail,29-Apr-2020,
Boone County Jail,30-Apr-2020,
Boone County Jail,1-May-2020,
Boone County Jail,2-May-2020,
Boone County Jail,3-May-2020,
Boone County Jail,4-May-2020,
Boone County Jail,5-May-2020,
Boone County Jail,6-May-2020,
Boone County Jail,7-May-2020,
Boone County Jail,8-May-2020,
Bossier Parish Medium Security Facility,3-Apr-2020,
Bossier Parish Medium Security Facility,4-Apr-2020,
Bossier Parish Medium Security Facility,7-Apr-2020,
Bossier Parish Medium Security Facility,8-Apr-2020,
Bossier Parish Medium Security Facility,9-Apr-2020,
Bossier Parish Medium Security Facility,10-Apr-2020,
Bossier Parish Medium Security Facility,13-Apr-2020,
Bossier Parish Medium Security Facility,14-Apr-2020,
Bossier Parish Medium Security Facility,15--Apr-2020,
Bossier Parish Medium Security Facility,16-Apr-2020,
Bossier Parish Medium Security Facility,17-Apr-2020,
Bossier Parish Medium Security Facility,20-Apr-2020,
Bossier Parish Medium Security Facility,21-Apr-2020,
Bossier Parish Medium Security Facility,22-Apr-2020,
Bossier Parish Medium Security Facility,23-Apr-2020,
Bossier Parish Medium Security Facility,24-Apr-2020,
Bossier Parish Medium Security Facility,27-Apr-2020,
Bossier Parish Medium Security Facility,28-Apr-2020,
Bossier Parish Medium Security Facility,29-Apr-2020,
Bossier Parish Medium Security Facility,30-Apr-2020,
Bossier Parish Medium Security Facility,1-May-2020,
Bossier Parish Medium Security Facility,2-May-2020,
Bossier Parish Medium Security Facility,3-May-2020,
Bossier Parish Medium Security Facility,4-May-2020,
Bossier Parish Medium Security Facility,5-May-2020,
Bossier Parish Medium Security Facility,6-May-2020,
Bossier Parish Medium Security Facility,7-May-2020,
Bossier Parish Medium Security Facility,8-May-2020,
Bristol County House of Corrections,3-Apr-2020,
Bristol County House of Corrections,4-Apr-2020,
Bristol County House of Corrections,7-Apr-2020,
Bristol County House of Corrections,8-Apr-2020,
Bristol County House of Corrections,9-Apr-2020,
Bristol County House of Corrections,10-Apr-2020,
Bristol County House of Corrections,13-Apr-2020,
Bristol County House of Corrections,14-Apr-2020,
Bristol County House of Corrections,15--Apr-2020,
Bristol County House of Corrections,16-Apr-2020,
Bristol County House of Corrections,17-Apr-2020,
Bristol County House of Corrections,20-Apr-2020,
Bristol County House of Corrections,21-Apr-2020,
Bristol County House of Corrections,22-Apr-2020,
Bristol County House of Corrections,23-Apr-2020,
Bristol County House of Corrections,24-Apr-2020,
Bristol County House of Corrections,27-Apr-2020,
Bristol County House of Corrections,28-Apr-2020,
Bristol County House of Corrections,29-Apr-2020,
Bristol County House of Corrections,30-Apr-2020,
Bristol County House of Corrections,1-May-2020,
Bristol County House of Corrections,2-May-2020,
Bristol County House of Corrections,3-May-2020,
Bristol County House of Corrections,4-May-2020,
Bristol County House of Corrections,5-May-2020,
Bristol County House of Corrections,6-May-2020,1
Bristol County House of Corrections,7-May-2020,1
Bristol County House of Corrections,8-May-2020,1
Brooks County Detention Center,3-Apr-2020,
Brooks County Detention Center,4-Apr-2020,
Brooks County Detention Center,7-Apr-2020,
Brooks County Detention Center,8-Apr-2020,
Brooks County Detention Center,9-Apr-2020,
Brooks County Detention Center,10-Apr-2020,
Brooks County Detention Center,13-Apr-2020,
Brooks County Detention Center,14-Apr-2020,
Brooks County Detention Center,15--Apr-2020,
Brooks County Detention Center,16-Apr-2020,
Brooks County Detention Center,17-Apr-2020,
Brooks County Detention Center,20-Apr-2020,
Brooks County Detention Center,21-Apr-2020,
Brooks County Detention Center,22-Apr-2020,
Brooks County Detention Center,23-Apr-2020,
Brooks County Detention Center,24-Apr-2020,
Brooks County Detention Center,27-Apr-2020,
Brooks County Detention Center,28-Apr-2020,
Brooks County Detention Center,29-Apr-2020,
Brooks County Detention Center,30-Apr-2020,
Brooks County Detention Center,1-May-2020,
Brooks County Detention Center,2-May-2020,
Brooks County Detention Center,3-May-2020,
Brooks County Detention Center,4-May-2020,
Brooks County Detention Center,5-May-2020,
Brooks County Detention Center,6-May-2020,
Brooks County Detention Center,7-May-2020,
Brooks County Detention Center,8-May-2020,
Broward Transitional Center,3-Apr-2020,
Broward Transitional Center,4-Apr-2020,
Broward Transitional Center,7-Apr-2020,
Broward Transitional Center,8-Apr-2020,
Broward Transitional Center,9-Apr-2020,
Broward Transitional Center,10-Apr-2020,
Broward Transitional Center,13-Apr-2020,
Broward Transitional Center,14-Apr-2020,
Broward Transitional Center,15--Apr-2020,
Broward Transitional Center,16-Apr-2020,
Broward Transitional Center,17-Apr-2020,
Broward Transitional Center,20-Apr-2020,
Broward Transitional Center,21-Apr-2020,
Broward Transitional Center,22-Apr-2020,
Broward Transitional Center,23-Apr-2020,
Broward Transitional Center,24-Apr-2020,
Broward Transitional Center,27-Apr-2020,
Broward Transitional Center,28-Apr-2020,
Broward Transitional Center,29-Apr-2020,
Broward Transitional Center,30-Apr-2020,
Broward Transitional Center,1-May-2020,
Broward Transitional Center,2-May-2020,
Broward Transitional Center,3-May-2020,
Broward Transitional Center,4-May-2020,
Broward Transitional Center,5-May-2020,
Broward Transitional Center,6-May-2020,1
Broward Transitional Center,7-May-2020,1
Broward Transitional Center,8-May-2020,1
Buffalo Federal Detention Facility,3-Apr-2020,
Buffalo Federal Detention Facility,4-Apr-2020,
Buffalo Federal Detention Facility,7-Apr-2020,
Buffalo Federal Detention Facility,8-Apr-2020,
Buffalo Federal Detention Facility,9-Apr-2020,4
Buffalo Federal Detention Facility,10-Apr-2020,7
Buffalo Federal Detention Facility,13-Apr-2020,7
Buffalo Federal Detention Facility,14-Apr-2020,8
Buffalo Federal Detention Facility,15--Apr-2020,11
Buffalo Federal Detention Facility,16-Apr-2020,12
Buffalo Federal Detention Facility,17-Apr-2020,13
Buffalo Federal Detention Facility,20-Apr-2020,45
Buffalo Federal Detention Facility,21-Apr-2020,46
Buffalo Federal Detention Facility,22-Apr-2020,49
Buffalo Federal Detention Facility,23-Apr-2020,49
Buffalo Federal Detention Facility,24-Apr-2020,49
Buffalo Federal Detention Facility,27-Apr-2020,49
Buffalo Federal Detention Facility,28-Apr-2020,49
